payload_bytes,packet_bytes,block_size,bits_per_token,overhead,image_copies,schedule,source_symbols,encoded_symbols,delivered_symbols,slots_per_symbol,used_token_slots,raw_capacity_bits,exact_recovery,failure
32,44,8,1,0.5,2,random,6,9,0,64,512,512,False,no symbols available
32,44,8,1,0.5,4,random,6,9,1,64,576,576,False,decoder stopped with 5 missing source blocks
32,44,8,1,0.5,8,random,6,9,1,64,576,576,False,decoder stopped with 5 missing source blocks
32,44,8,1,0.5,12,random,6,9,1,64,576,576,False,decoder stopped with 5 missing source blocks
32,44,8,1,0.8,2,random,6,11,0,64,512,512,False,no symbols available
32,44,8,1,0.8,4,random,6,11,1,64,704,704,False,decoder stopped with 5 missing source blocks
32,44,8,1,0.8,8,random,6,11,1,64,704,704,False,decoder stopped with 5 missing source blocks
32,44,8,1,0.8,12,random,6,11,1,64,704,704,False,decoder stopped with 5 missing source blocks
32,44,8,1,1.2,2,random,6,14,0,64,512,512,False,no symbols available
32,44,8,1,1.2,4,random,6,14,1,64,896,896,False,decoder stopped with 5 missing source blocks
32,44,8,1,1.2,8,random,6,14,1,64,896,896,False,decoder stopped with 5 missing source blocks
32,44,8,1,1.2,12,random,6,14,1,64,896,896,False,decoder stopped with 5 missing source blocks
32,44,8,2,0.5,2,random,6,9,1,32,288,576,False,decoder stopped with 5 missing source blocks
32,44,8,2,0.5,4,random,6,9,1,32,288,576,False,decoder stopped with 5 missing source blocks
32,44,8,2,0.5,8,random,6,9,1,32,288,576,False,decoder stopped with 5 missing source blocks
32,44,8,2,0.5,12,random,6,9,1,32,288,576,False,decoder stopped with 5 missing source blocks
32,44,8,2,0.8,2,random,6,11,2,32,352,704,False,decoder stopped with 4 missing source blocks
32,44,8,2,0.8,4,random,6,11,2,32,352,704,False,decoder stopped with 4 missing source blocks
32,44,8,2,0.8,8,random,6,11,2,32,352,704,False,decoder stopped with 4 missing source blocks
32,44,8,2,0.8,12,random,6,11,2,32,352,704,False,decoder stopped with 4 missing source blocks
32,44,8,2,1.2,2,random,6,14,4,32,448,896,False,decoder stopped with 2 missing source blocks
32,44,8,2,1.2,4,random,6,14,4,32,448,896,False,decoder stopped with 2 missing source blocks
32,44,8,2,1.2,8,random,6,14,4,32,448,896,False,decoder stopped with 2 missing source blocks
32,44,8,2,1.2,12,random,6,14,4,32,448,896,False,decoder stopped with 2 missing source blocks
64,76,8,1,0.5,2,random,10,15,0,64,512,512,False,no symbols available
64,76,8,1,0.5,4,random,10,15,1,64,960,960,False,decoder stopped with 9 missing source blocks
64,76,8,1,0.5,8,random,10,15,1,64,960,960,False,decoder stopped with 9 missing source blocks
64,76,8,1,0.5,12,random,10,15,1,64,960,960,False,decoder stopped with 9 missing source blocks
64,76,8,1,0.8,2,random,10,18,0,64,512,512,False,no symbols available
64,76,8,1,0.8,4,random,10,18,0,64,1024,1024,False,no symbols available
64,76,8,1,0.8,8,random,10,18,2,64,1152,1152,False,decoder stopped with 8 missing source blocks
64,76,8,1,0.8,12,random,10,18,2,64,1152,1152,False,decoder stopped with 8 missing source blocks
64,76,8,1,1.2,2,random,10,22,0,64,512,512,False,no symbols available
64,76,8,1,1.2,4,random,10,22,0,64,1024,1024,False,no symbols available
64,76,8,1,1.2,8,random,10,22,2,64,1408,1408,False,decoder stopped with 8 missing source blocks
64,76,8,1,1.2,12,random,10,22,2,64,1408,1408,False,decoder stopped with 8 missing source blocks
64,76,8,2,0.5,2,random,10,15,4,32,480,960,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.5,4,random,10,15,4,32,480,960,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.5,8,random,10,15,4,32,480,960,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.5,12,random,10,15,4,32,480,960,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.8,2,random,10,18,0,32,512,1024,False,no symbols available
64,76,8,2,0.8,4,random,10,18,4,32,576,1152,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.8,8,random,10,18,4,32,576,1152,False,decoder stopped with 6 missing source blocks
64,76,8,2,0.8,12,random,10,18,4,32,576,1152,False,decoder stopped with 6 missing source blocks
64,76,8,2,1.2,2,random,10,22,0,32,512,1024,False,no symbols available
64,76,8,2,1.2,4,random,10,22,4,32,704,1408,False,decoder stopped with 6 missing source blocks
64,76,8,2,1.2,8,random,10,22,4,32,704,1408,False,decoder stopped with 6 missing source blocks
64,76,8,2,1.2,12,random,10,22,4,32,704,1408,False,decoder stopped with 6 missing source blocks
128,140,8,1,0.5,2,random,18,27,0,64,512,512,False,no symbols available
128,140,8,1,0.5,4,random,18,27,0,64,1024,1024,False,no symbols available
128,140,8,1,0.5,8,random,18,27,2,64,1728,1728,False,decoder stopped with 16 missing source blocks
128,140,8,1,0.5,12,random,18,27,2,64,1728,1728,False,decoder stopped with 16 missing source blocks
128,140,8,1,0.8,2,random,18,33,0,64,512,512,False,no symbols available
128,140,8,1,0.8,4,random,18,33,0,64,1024,1024,False,no symbols available
128,140,8,1,0.8,8,random,18,33,0,64,2048,2048,False,no symbols available
128,140,8,1,0.8,12,random,18,33,2,64,2112,2112,False,decoder stopped with 16 missing source blocks
128,140,8,1,1.2,2,random,18,40,0,64,512,512,False,no symbols available
128,140,8,1,1.2,4,random,18,40,0,64,1024,1024,False,no symbols available
128,140,8,1,1.2,8,random,18,40,0,64,2048,2048,False,no symbols available
128,140,8,1,1.2,12,random,18,40,2,64,2560,2560,False,decoder stopped with 16 missing source blocks
128,140,8,2,0.5,2,random,18,27,0,32,512,1024,False,no symbols available
128,140,8,2,0.5,4,random,18,27,5,32,864,1728,False,decoder stopped with 13 missing source blocks
128,140,8,2,0.5,8,random,18,27,5,32,864,1728,False,decoder stopped with 13 missing source blocks
128,140,8,2,0.5,12,random,18,27,5,32,864,1728,False,decoder stopped with 13 missing source blocks
128,140,8,2,0.8,2,random,18,33,0,32,512,1024,False,no symbols available
128,140,8,2,0.8,4,random,18,33,0,32,1024,2048,False,no symbols available
128,140,8,2,0.8,8,random,18,33,8,32,1056,2112,False,decoder stopped with 10 missing source blocks
128,140,8,2,0.8,12,random,18,33,8,32,1056,2112,False,decoder stopped with 10 missing source blocks
128,140,8,2,1.2,2,random,18,40,0,32,512,1024,False,no symbols available
128,140,8,2,1.2,4,random,18,40,0,32,1024,2048,False,no symbols available
128,140,8,2,1.2,8,random,18,40,11,32,1280,2560,False,decoder stopped with 7 missing source blocks
128,140,8,2,1.2,12,random,18,40,11,32,1280,2560,False,decoder stopped with 7 missing source blocks
